time_id,year,quarter,month
2015-03-01,2015,1,3
2015-04-01,2015,2,4
2015-05-01,2015,2,5
2015-06-01,2015,2,6
2015-07-01,2015,3,7
2015-08-01,2015,3,8
2015-09-01,2015,3,9
2015-10-01,2015,4,10
2015-11-01,2015,4,11
2015-12-01,2015,4,12
2016-01-01,2016,1,1
2016-02-01,2016,1,2
2016-03-01,2016,1,3
2016-04-01,2016,2,4
2016-05-01,2016,2,5
2016-06-01,2016,2,6
2016-07-01,2016,3,7
2016-08-01,2016,3,8
2016-09-01,2016,3,9
2016-10-01,2016,4,10
2016-11-01,2016,4,11
2016-12-01,2016,4,12
2017-01-01,2017,1,1
2017-02-01,2017,1,2
2017-03-01,2017,1,3
2017-04-01,2017,2,4
2017-05-01,2017,2,5
2017-06-01,2017,2,6
2017-07-01,2017,3,7
2017-08-01,2017,3,8
2017-09-01,2017,3,9
2017-10-01,2017,4,10
2017-11-01,2017,4,11
2017-12-01,2017,4,12
2018-01-01,2018,1,1
2018-02-01,2018,1,2
2018-03-01,2018,1,3
2018-04-01,2018,2,4
2018-05-01,2018,2,5
2018-06-01,2018,2,6
2018-07-01,2018,3,7
2018-08-01,2018,3,8
2018-09-01,2018,3,9
2018-10-01,2018,4,10
2018-11-01,2018,4,11
2018-12-01,2018,4,12
2019-01-01,2019,1,1
2019-02-01,2019,1,2
2019-03-01,2019,1,3
2019-04-01,2019,2,4
2019-05-01,2019,2,5
2019-06-01,2019,2,6
2019-07-01,2019,3,7
2019-08-01,2019,3,8
2019-09-01,2019,3,9
2019-10-01,2019,4,10
2019-11-01,2019,4,11
2019-12-01,2019,4,12
2020-01-01,2020,1,1
2020-02-01,2020,1,2
2020-03-01,2020,1,3
2020-04-01,2020,2,4
2020-05-01,2020,2,5
2020-06-01,2020,2,6
2020-07-01,2020,3,7
2020-08-01,2020,3,8
2020-09-01,2020,3,9
2020-10-01,2020,4,10
2020-11-01,2020,4,11
2020-12-01,2020,4,12
2021-01-01,2021,1,1
2021-02-01,2021,1,2
2021-03-01,2021,1,3
2021-04-01,2021,2,4
2021-05-01,2021,2,5
2021-06-01,2021,2,6
2021-07-01,2021,3,7
2021-08-01,2021,3,8
2021-09-01,2021,3,9
2021-10-01,2021,4,10
2021-11-01,2021,4,11
2021-12-01,2021,4,12
2022-01-01,2022,1,1
2022-02-01,2022,1,2
2022-03-01,2022,1,3
2022-04-01,2022,2,4
2022-05-01,2022,2,5
2022-06-01,2022,2,6
2022-07-01,2022,3,7
2022-08-01,2022,3,8
2022-09-01,2022,3,9
2022-10-01,2022,4,10
2022-11-01,2022,4,11
2022-12-01,2022,4,12
2023-01-01,2023,1,1
2023-02-01,2023,1,2
2023-03-01,2023,1,3
2023-04-01,2023,2,4
2023-05-01,2023,2,5
2023-06-01,2023,2,6
2023-07-01,2023,3,7
2023-08-01,2023,3,8
2023-09-01,2023,3,9
2023-10-01,2023,4,10
2023-11-01,2023,4,11
2023-12-01,2023,4,12
2024-01-01,2024,1,1
2024-02-01,2024,1,2
2024-03-01,2024,1,3
2024-04-01,2024,2,4
2024-05-01,2024,2,5
2024-06-01,2024,2,6
2024-07-01,2024,3,7
2024-08-01,2024,3,8
2024-09-01,2024,3,9
2024-10-01,2024,4,10
2024-11-01,2024,4,11
2024-12-01,2024,4,12
2025-01-01,2025,1,1
2025-02-01,2025,1,2
2025-03-01,2025,1,3
