time_id,deprivation_level,lsoa_code,crime_count
2015-03-01,High,E01000005,34
2015-03-01,High,E01000007,56
2015-03-01,High,E01000009,18
2015-03-01,High,E01000010,104
2015-03-01,High,E01000011,7
2015-03-01,High,E01000016,7
2015-03-01,High,E01000018,15
2015-03-01,High,E01000024,3
2015-03-01,High,E01000032,13
2015-03-01,High,E01000041,7
2015-03-01,High,E01000043,11
2015-03-01,High,E01000044,16
2015-03-01,High,E01000046,5
2015-03-01,High,E01000052,19
2015-03-01,High,E01000054,8
2015-03-01,High,E01000055,5
2015-03-01,High,E01000057,14
2015-03-01,High,E01000058,10
2015-03-01,High,E01000059,4
2015-03-01,High,E01000063,3
2015-03-01,High,E01000080,3
2015-03-01,High,E01000081,7
2015-03-01,High,E01000082,14
2015-03-01,High,E01000088,26
2015-03-01,High,E01000089,7
2015-03-01,High,E01000090,22
2015-03-01,High,E01000094,12
2015-03-01,High,E01000095,43
2015-03-01,High,E01000099,12
2015-03-01,High,E01000100,8
2015-03-01,High,E01000103,12
2015-03-01,High,E01000107,6
2015-03-01,High,E01000108,19
2015-03-01,High,E01000111,19
2015-03-01,High,E01000127,6
2015-03-01,High,E01000128,7
2015-03-01,High,E01000129,37
2015-03-01,High,E01000130,9
2015-03-01,High,E01000133,7
2015-03-01,High,E01000137,6
2015-03-01,High,E01000138,16
2015-03-01,High,E01000141,46
2015-03-01,High,E01000143,7
2015-03-01,High,E01000148,19
2015-03-01,High,E01000152,7
2015-03-01,High,E01000154,5
2015-03-01,High,E01000163,18
2015-03-01,High,E01000167,4
2015-03-01,High,E01000176,5
2015-03-01,High,E01000184,6
2015-03-01,High,E01000222,12
2015-03-01,High,E01000226,10
2015-03-01,High,E01000291,13
2015-03-01,High,E01000305,15
2015-03-01,High,E01000308,20
2015-03-01,High,E01000315,16
2015-03-01,High,E01000331,4
2015-03-01,High,E01000335,16
2015-03-01,High,E01000336,4
2015-03-01,High,E01000367,11
2015-03-01,High,E01000372,5
2015-03-01,High,E01000373,3
2015-03-01,High,E01000381,12
2015-03-01,High,E01000385,10
2015-03-01,High,E01000403,43
2015-03-01,High,E01000404,18
2015-03-01,High,E01000405,8
2015-03-01,High,E01000435,15
2015-03-01,High,E01000441,15
2015-03-01,High,E01000465,9
2015-03-01,High,E01000481,7
2015-03-01,High,E01000482,54
2015-03-01,High,E01000483,16
2015-03-01,High,E01000485,3
2015-03-01,High,E01000495,14
2015-03-01,High,E01000498,10
2015-03-01,High,E01000499,26
2015-03-01,High,E01000502,14
2015-03-01,High,E01000503,11
2015-03-01,High,E01000506,25
2015-03-01,High,E01000510,20
2015-03-01,High,E01000511,4
2015-03-01,High,E01000515,18
2015-03-01,High,E01000522,6
2015-03-01,High,E01000523,30
2015-03-01,High,E01000535,18
2015-03-01,High,E01000544,5
2015-03-01,High,E01000545,32
2015-03-01,High,E01000548,38
2015-03-01,High,E01000553,18
2015-03-01,High,E01000556,28
2015-03-01,High,E01000577,15
2015-03-01,High,E01000578,28
2015-03-01,High,E01000579,16
2015-03-01,High,E01000622,17
2015-03-01,High,E01000630,43
2015-03-01,High,E01000635,81
2015-03-01,High,E01000638,12
2015-03-01,High,E01000641,21
2015-03-01,High,E01000642,45
2015-03-01,High,E01000718,16
2015-03-01,High,E01000725,13
2015-03-01,High,E01000731,9
2015-03-01,High,E01000735,17
2015-03-01,High,E01000737,12
2015-03-01,High,E01000750,2
2015-03-01,High,E01000783,28
2015-03-01,High,E01000785,9
2015-03-01,High,E01000796,20
2015-03-01,High,E01000800,19
2015-03-01,High,E01000853,19
2015-03-01,High,E01000856,33
2015-03-01,High,E01000861,41
2015-03-01,High,E01000867,13
2015-03-01,High,E01000876,8
2015-03-01,High,E01000889,5
2015-03-01,High,E01000901,16
2015-03-01,High,E01000908,3
2015-03-01,High,E01000925,2
2015-03-01,High,E01000930,43
2015-03-01,High,E01000935,15
2015-03-01,High,E01000945,114
2015-03-01,High,E01000948,23
2015-03-01,High,E01000952,13
2015-03-01,High,E01000955,16
2015-03-01,High,E01000956,48
2015-03-01,High,E01000972,44
2015-03-01,High,E01000977,6
2015-03-01,High,E01000984,12
2015-03-01,High,E01000992,20
2015-03-01,High,E01000998,32
2015-03-01,High,E01001000,12
2015-03-01,High,E01001006,16
2015-03-01,High,E01001008,13
2015-03-01,High,E01001011,27
2015-03-01,High,E01001014,115
2015-03-01,High,E01001043,154
2015-03-01,High,E01001048,124
2015-03-01,High,E01001053,18
2015-03-01,High,E01001082,8
2015-03-01,High,E01001089,12
2015-03-01,High,E01001109,28
2015-03-01,High,E01001111,31
2015-03-01,High,E01001112,11
2015-03-01,High,E01001113,13
2015-03-01,High,E01001116,20
2015-03-01,High,E01001117,23
2015-03-01,High,E01001136,29
2015-03-01,High,E01001141,4
2015-03-01,High,E01001143,16
2015-03-01,High,E01001154,25
2015-03-01,High,E01001162,21
2015-03-01,High,E01001166,15
2015-03-01,High,E01001169,10
2015-03-01,High,E01001170,12
2015-03-01,High,E01001175,11
2015-03-01,High,E01001177,21
2015-03-01,High,E01001180,17
2015-03-01,High,E01001186,13
2015-03-01,High,E01001188,11
2015-03-01,High,E01001190,11
2015-03-01,High,E01001192,22
2015-03-01,High,E01001203,21
2015-03-01,High,E01001205,12
2015-03-01,High,E01001213,11
2015-03-01,High,E01001215,16
2015-03-01,High,E01001229,14
2015-03-01,High,E01001239,18
2015-03-01,High,E01001244,13
2015-03-01,High,E01001246,30
2015-03-01,High,E01001262,15
2015-03-01,High,E01001267,29
2015-03-01,High,E01001287,8
2015-03-01,High,E01001298,9
2015-03-01,High,E01001311,8
2015-03-01,High,E01001316,8
2015-03-01,High,E01001324,9
2015-03-01,High,E01001326,14
2015-03-01,High,E01001327,28
2015-03-01,High,E01001338,16
2015-03-01,High,E01001349,5
2015-03-01,High,E01001351,46
2015-03-01,High,E01001360,28
2015-03-01,High,E01001362,15
2015-03-01,High,E01001365,11
2015-03-01,High,E01001366,11
2015-03-01,High,E01001367,10
2015-03-01,High,E01001368,4
2015-03-01,High,E01001371,18
2015-03-01,High,E01001372,12
2015-03-01,High,E01001412,19
2015-03-01,High,E01001423,16
2015-03-01,High,E01001434,11
2015-03-01,High,E01001436,4
2015-03-01,High,E01001440,17
2015-03-01,High,E01001445,25
2015-03-01,High,E01001446,8
2015-03-01,High,E01001448,10
2015-03-01,High,E01001449,12
2015-03-01,High,E01001466,6
2015-03-01,High,E01001468,17
2015-03-01,High,E01001476,12
2015-03-01,High,E01001479,26
2015-03-01,High,E01001480,5
2015-03-01,High,E01001488,10
2015-03-01,High,E01001489,6
2015-03-01,High,E01001491,2
2015-03-01,High,E01001492,9
2015-03-01,High,E01001493,13
2015-03-01,High,E01001502,20
2015-03-01,High,E01001503,7
2015-03-01,High,E01001504,11
2015-03-01,High,E01001505,13
2015-03-01,High,E01001508,19
2015-03-01,High,E01001513,51
2015-03-01,High,E01001516,22
2015-03-01,High,E01001529,12
2015-03-01,High,E01001546,3
2015-03-01,High,E01001547,21
2015-03-01,High,E01001548,10
2015-03-01,High,E01001557,8
2015-03-01,High,E01001577,18
2015-03-01,High,E01001589,15
2015-03-01,High,E01001591,6
2015-03-01,High,E01001602,15
2015-03-01,High,E01001620,9
2015-03-01,High,E01001621,5
2015-03-01,High,E01001629,10
2015-03-01,High,E01001637,12
2015-03-01,High,E01001638,12
2015-03-01,High,E01001640,43
