time_id,lsoa_code,deprivation_level,crime_count
2015-03-01,E01000001,Very Low,1
2015-03-01,E01000002,Very Low,4
2015-03-01,E01000005,High,1
2015-03-01,E01000006,Low,3
2015-03-01,E01000007,High,19
2015-03-01,E01000008,Very High,6
2015-03-01,E01000009,High,1
2015-03-01,E01000010,High,18
2015-03-01,E01000011,High,2
2015-03-01,E01000012,Very High,6
2015-03-01,E01000013,Very High,9
2015-03-01,E01000014,Very High,9
2015-03-01,E01000015,Very High,8
2015-03-01,E01000016,High,3
2015-03-01,E01000017,Very High,3
2015-03-01,E01000018,High,4
2015-03-01,E01000019,Very High,6
2015-03-01,E01000021,Very High,5
2015-03-01,E01000022,Very High,8
2015-03-01,E01000023,Very High,3
2015-03-01,E01000024,High,1
2015-03-01,E01000025,Very High,1
2015-03-01,E01000027,Very High,5
2015-03-01,E01000028,Very High,3
2015-03-01,E01000029,Medium,4
2015-03-01,E01000030,Very High,3
2015-03-01,E01000031,Medium,1
2015-03-01,E01000032,High,3
2015-03-01,E01000033,Very High,4
2015-03-01,E01000034,Very High,2
2015-03-01,E01000035,Medium,6
2015-03-01,E01000036,Low,3
2015-03-01,E01000037,Low,2
2015-03-01,E01000038,Low,4
2015-03-01,E01000039,Medium,6
2015-03-01,E01000040,Very High,3
2015-03-01,E01000041,High,1
2015-03-01,E01000042,Very High,3
2015-03-01,E01000043,High,2
2015-03-01,E01000044,High,3
2015-03-01,E01000045,Very High,8
2015-03-01,E01000046,High,2
2015-03-01,E01000048,Very High,3
2015-03-01,E01000049,Very High,6
2015-03-01,E01000050,Very High,7
2015-03-01,E01000051,Very High,10
2015-03-01,E01000052,High,5
2015-03-01,E01000053,Very High,7
2015-03-01,E01000054,High,2
2015-03-01,E01000055,High,2
2015-03-01,E01000056,Very High,5
2015-03-01,E01000057,High,5
2015-03-01,E01000059,High,1
2015-03-01,E01000060,Very High,5
2015-03-01,E01000061,Very High,2
2015-03-01,E01000062,Medium,7
2015-03-01,E01000064,Very High,2
2015-03-01,E01000065,Very High,4
2015-03-01,E01000066,Medium,2
2015-03-01,E01000067,Medium,4
2015-03-01,E01000068,Medium,1
2015-03-01,E01000069,Low,2
2015-03-01,E01000070,Medium,4
2015-03-01,E01000071,Low,5
2015-03-01,E01000072,Very High,4
2015-03-01,E01000073,Very High,4
2015-03-01,E01000074,Very High,3
2015-03-01,E01000075,Very High,6
2015-03-01,E01000076,Very High,2
2015-03-01,E01000077,Very High,2
2015-03-01,E01000078,Very High,2
2015-03-01,E01000079,Very High,2
2015-03-01,E01000080,High,1
2015-03-01,E01000081,High,1
2015-03-01,E01000082,High,2
2015-03-01,E01000083,Very High,4
2015-03-01,E01000084,Very High,5
2015-03-01,E01000085,Very High,2
2015-03-01,E01000086,Very High,3
